Test Epoch: 0, Accuracy: 20.970, Precision: 22.053, Recall: 20.970, F1: 17.595, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 31.120, Precision: 33.932, Recall: 31.120, F1: 29.191, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 36.200, Precision: 39.945, Recall: 36.200, F1: 34.263, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 44.230, Precision: 47.115, Recall: 44.230, F1: 42.453, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 49.030, Precision: 51.330, Recall: 49.030, F1: 48.327, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 51.760, Precision: 53.324, Recall: 51.760, F1: 51.072, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 51.600, Precision: 56.081, Recall: 51.600, F1: 51.054, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 55.350, Precision: 58.371, Recall: 55.350, F1: 54.744, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 56.710, Precision: 58.761, Recall: 56.710, F1: 55.952, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 58.440, Precision: 60.465, Recall: 58.440, F1: 57.920, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 60.020, Precision: 62.504, Recall: 60.020, F1: 60.123, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 60.360, Precision: 62.821, Recall: 60.360, F1: 59.979, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 62.240, Precision: 63.451, Recall: 62.240, F1: 61.725, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 62.060, Precision: 64.460, Recall: 62.060, F1: 62.100, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 62.010, Precision: 64.989, Recall: 62.010, F1: 61.965, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 63.590, Precision: 65.924, Recall: 63.590, F1: 63.450, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 63.500, Precision: 65.047, Recall: 63.500, F1: 62.899, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 63.970, Precision: 66.241, Recall: 63.970, F1: 64.088, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 64.260, Precision: 65.167, Recall: 64.260, F1: 63.827, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 64.170, Precision: 66.143, Recall: 64.170, F1: 64.022, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 65.070, Precision: 66.839, Recall: 65.070, F1: 65.041, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 64.330, Precision: 66.611, Recall: 64.330, F1: 64.227, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 64.570, Precision: 66.658, Recall: 64.570, F1: 64.473, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 64.570, Precision: 66.280, Recall: 64.570, F1: 64.197, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 65.280, Precision: 67.075, Recall: 65.280, F1: 65.277, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 64.650, Precision: 66.811, Recall: 64.650, F1: 64.697, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 64.460, Precision: 66.453, Recall: 64.460, F1: 64.440, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 64.330, Precision: 66.011, Recall: 64.330, F1: 64.195, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 64.030, Precision: 66.249, Recall: 64.030, F1: 63.920, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 63.070, Precision: 65.733, Recall: 63.070, F1: 63.009, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 66.670, Precision: 67.119, Recall: 66.670, F1: 66.030, L_1: 38639, U_1: 11361, L_2: 35619, U_2: 14381
Test Epoch: 31, Accuracy: 66.450, Precision: 67.056, Recall: 66.450, F1: 65.879, L_1: 35809, U_1: 14191, L_2: 36509, U_2: 13491
Test Epoch: 32, Accuracy: 66.490, Precision: 67.049, Recall: 66.490, F1: 65.857, L_1: 35445, U_1: 14555, L_2: 35823, U_2: 14177
Test Epoch: 33, Accuracy: 66.700, Precision: 66.873, Recall: 66.700, F1: 66.038, L_1: 34971, U_1: 15029, L_2: 35238, U_2: 14762
Test Epoch: 34, Accuracy: 66.880, Precision: 67.096, Recall: 66.880, F1: 66.254, L_1: 33589, U_1: 16411, L_2: 34025, U_2: 15975
Test Epoch: 35, Accuracy: 67.500, Precision: 67.521, Recall: 67.500, F1: 66.793, L_1: 33393, U_1: 16607, L_2: 33011, U_2: 16989
Test Epoch: 36, Accuracy: 67.060, Precision: 67.257, Recall: 67.060, F1: 66.446, L_1: 32576, U_1: 17424, L_2: 32174, U_2: 17826
Test Epoch: 37, Accuracy: 67.000, Precision: 67.037, Recall: 67.000, F1: 66.296, L_1: 31763, U_1: 18237, L_2: 31847, U_2: 18153
Test Epoch: 38, Accuracy: 67.190, Precision: 67.110, Recall: 67.190, F1: 66.472, L_1: 31353, U_1: 18647, L_2: 32036, U_2: 17964
Test Epoch: 39, Accuracy: 67.780, Precision: 68.092, Recall: 67.780, F1: 67.291, L_1: 32261, U_1: 17739, L_2: 31183, U_2: 18817
Test Epoch: 40, Accuracy: 67.610, Precision: 67.561, Recall: 67.610, F1: 67.010, L_1: 31503, U_1: 18497, L_2: 31066, U_2: 18934
Test Epoch: 41, Accuracy: 67.100, Precision: 67.071, Recall: 67.100, F1: 66.400, L_1: 31389, U_1: 18611, L_2: 30617, U_2: 19383
Test Epoch: 42, Accuracy: 67.180, Precision: 67.435, Recall: 67.180, F1: 66.600, L_1: 30454, U_1: 19546, L_2: 30727, U_2: 19273
Test Epoch: 43, Accuracy: 67.610, Precision: 68.122, Recall: 67.610, F1: 67.189, L_1: 30216, U_1: 19784, L_2: 30366, U_2: 19634
Test Epoch: 44, Accuracy: 66.800, Precision: 66.834, Recall: 66.800, F1: 66.099, L_1: 30393, U_1: 19607, L_2: 30313, U_2: 19687
Test Epoch: 45, Accuracy: 67.400, Precision: 67.495, Recall: 67.400, F1: 66.756, L_1: 30168, U_1: 19832, L_2: 30191, U_2: 19809
Test Epoch: 46, Accuracy: 67.380, Precision: 67.757, Recall: 67.380, F1: 66.790, L_1: 30117, U_1: 19883, L_2: 29866, U_2: 20134
Test Epoch: 47, Accuracy: 67.960, Precision: 68.040, Recall: 67.960, F1: 67.352, L_1: 29918, U_1: 20082, L_2: 30133, U_2: 19867
Test Epoch: 48, Accuracy: 67.440, Precision: 67.582, Recall: 67.440, F1: 66.754, L_1: 30119, U_1: 19881, L_2: 29934, U_2: 20066
