Test Epoch: 0, Accuracy: 14.110, Precision: 13.387, Recall: 14.110, F1: 10.269, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 20.610, Precision: 21.596, Recall: 20.610, F1: 17.100, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 24.960, Precision: 26.539, Recall: 24.960, F1: 21.364, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 28.510, Precision: 29.243, Recall: 28.510, F1: 24.858, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 32.150, Precision: 33.366, Recall: 32.150, F1: 29.438, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 34.710, Precision: 37.490, Recall: 34.710, F1: 32.765, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 38.160, Precision: 41.351, Recall: 38.160, F1: 36.540, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 41.880, Precision: 43.785, Recall: 41.880, F1: 40.078, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 44.370, Precision: 46.727, Recall: 44.370, F1: 42.694, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 47.330, Precision: 48.792, Recall: 47.330, F1: 46.378, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 46.080, Precision: 48.507, Recall: 46.080, F1: 44.930, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 47.680, Precision: 50.037, Recall: 47.680, F1: 46.379, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 50.110, Precision: 52.278, Recall: 50.110, F1: 49.317, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 49.550, Precision: 51.929, Recall: 49.550, F1: 48.389, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 52.050, Precision: 55.176, Recall: 52.050, F1: 51.604, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 51.290, Precision: 53.672, Recall: 51.290, F1: 50.152, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 52.920, Precision: 55.179, Recall: 52.920, F1: 52.460, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 53.160, Precision: 55.843, Recall: 53.160, F1: 52.626, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 54.530, Precision: 57.046, Recall: 54.530, F1: 53.940, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 54.770, Precision: 57.299, Recall: 54.770, F1: 54.529, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 55.050, Precision: 57.991, Recall: 55.050, F1: 54.873, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 54.760, Precision: 56.798, Recall: 54.760, F1: 54.048, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 54.840, Precision: 57.993, Recall: 54.840, F1: 54.235, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 55.030, Precision: 57.001, Recall: 55.030, F1: 54.435, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 56.200, Precision: 57.117, Recall: 56.200, F1: 55.602, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 55.080, Precision: 57.619, Recall: 55.080, F1: 54.670, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 55.510, Precision: 57.378, Recall: 55.510, F1: 55.202, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 55.240, Precision: 57.194, Recall: 55.240, F1: 54.835, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 54.300, Precision: 57.683, Recall: 54.300, F1: 54.275, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 52.470, Precision: 55.085, Recall: 52.470, F1: 51.976, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
